Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Raven's Flight,Amon Amarth,Raven's Flight,Heavy Edge,Playlist,USMBR1913491,6MUxFq07nqKi16xJ56CLZW
Get in the Ring,Amon Amarth,Get in the Ring,Heavy Edge,Playlist,USMBR2215355,1UR4uh8g1YO3RxK4QBFf1m
Love & War,Otherwise,Peace at All Costs,Heavy Edge,Playlist,US4E41409302,0MyZG4wbaa0TjWwaA7B5IT
Deceiver,Disturbed,Indestructible (Deluxe Edition),Heavy Edge,Playlist,USRE10800128,6TNWKMAgZLzB3dWgGjWuYl
Divide,Disturbed,Indestructible (Deluxe Edition),Heavy Edge,Playlist,USRE10800135,6JCpKGEvEhgVqHYekWFXky
Warrior,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000555,2TNPagu8Z4zvDOpmnktF00
Never Again,Disturbed,Asylum,Heavy Edge,Playlist,USRE11000556,74rqcj3dcbSjFILAuAH1zR
The Infection,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000554,7pJcMQXKQiR9mmCeLt9lFm
Smells Like Teen Spirit,Nirvana,Nevermind (Super Deluxe Edition),Heavy Edge,Playlist,USGF19942501,2Wtm3yc0paBifvBSjOhO3b
The Light,Disturbed,Immortalized (Deluxe Edition),Heavy Edge,Playlist,USRE11500174,2AQq1I0LiIgfJ7vVLptvy8
Immortalized,Disturbed,Immortalized (Deluxe Edition),Heavy Edge,Playlist,USRE11500171,7FChJg2hPG2uAZ3hmDg6xL
Who,Disturbed,Immortalized,Heavy Edge,Playlist,USRE11500177,5lt1oUD75mUblFiNbHdFhb
Save Our Last Goodbye,Disturbed,Immortalized (Deluxe Edition),Heavy Edge,Playlist,USRE11500178,5fRPvdd4CZ4yvHSlfv6iuv
Who Taught You How to Hate,Disturbed,Immortalized,Heavy Edge,Playlist,USRE11500182,3GfZcEsSuiHBn2r4zeuN2m
Another Way to Die,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000389,3EZAnO8lnPCBCcJcwAZbEB
The Animal,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000557,1HD8mFfpSGLJnwv6UTLaIv
Crucified,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000558,6wsrdPesGUlwqyCqUb6LFF
My Child,Disturbed,Asylum,Heavy Edge,Playlist,USRE11000560,1Tf6EyFSVZb4R7hLd5dY4r
Innocence,Disturbed,Asylum (Deluxe Edition),Heavy Edge,Playlist,USRE11000562,0dSqYcX6QIi4Tmm3NljthH
Liberate,Disturbed,Believe,Heavy Edge,Playlist,USRE10200796,2tMLPDIY5H1zICjyDLMXeT
Believe,Disturbed,Believe,Heavy Edge,Playlist,USRE10200798,6XwFPgj5bHc6o0G7LlFwTi
Intoxication,Disturbed,Believe,Heavy Edge,Playlist,USRE10200800,7qnLO3YTRZkLQUv205WUng
Mistress,Disturbed,Believe,Heavy Edge,Playlist,USRE10200802,6EJirOzDkVt0Zv1NAScdWC
Bound,Disturbed,Believe,Heavy Edge,Playlist,USRE10200804,5zL1dj9Jzryj9sZ1MsAicD
Devour,Disturbed,Believe,Heavy Edge,Playlist,USRE10200805,7fvXZdBhCSsktm1qi3rLpH
Torn,Disturbed,Indestructible (Deluxe Edition),Heavy Edge,Playlist,USRE10800134,2FxJ7PgxA77B1uKDjz04pa
In the End,Linkin Park,Hybrid Theory,Heavy Edge,Playlist,USWB10002407,7q115ia4fQn9zonjpexWsY
Awake and Alive,Skillet,Awake (Deluxe Edition),Heavy Edge,Playlist,USAT20902347,1uFo7uOMGWaDbB5R7wmSoD
Salt in the Wound,Theory of a Deadman,Savages,Heavy Edge,Playlist,NLA321400223,36AWmT4zzwDz8jlaJbFckv
Monster,Disturbed,The Lost Children,Heavy Edge,Playlist,USRE11100811,4j3TRw33qz3eAfkWTvTy4w
Don't Damn Me - 2022 Remaster,Guns N' Roses,Use Your Illusion I,Heavy Edge,Playlist,USGF19141513,7tsufOGcPKVKrLGYreTqX9
Aerials,System Of A Down,Toxicity,Heavy Edge,Playlist,USSM10107264,4e9eGQYsOiBcftrWXwsVco
Frontline,Pillar,Where Do We Go From Here,Heavy Edge,Playlist,USFLK0400173,39sN48Q2DIbyVK8i8kkqgF
Enemies,Shinedown,Amaryllis,Heavy Edge,Playlist,USAT21200235,1SDl9wY1MqbpJQW0yKEWxL
I Am,Godsmack,Faceless,Heavy Edge,Playlist,USUR10300054,26j3d8GGSZ79PMaOd4tMCq
All These Things I Hate (Revolve Around Me),Bullet For My Valentine,The Poison,Heavy Edge,Playlist,GBHQD0500010,2kjyN0U2CJSLQzPSGD8rFe
Figure.09,Linkin Park,Meteora 20th Anniversary Edition,Heavy Edge,Playlist,USWB11201334,1KEQ9UIwVhQ3dCzKJ3ORFr
Hand Of Blood,Bullet For My Valentine,Hand Of Blood / 4 Words,Heavy Edge,Playlist,GBHQD0400003,0A6PfIp2V8Z5L8rqKUpDvG
Carry On,Avenged Sevenfold,Carry On,Heavy Edge,Playlist,USWB11202570,1hrfvLgEC9lci0kB89QEQ0
Cold - 2022 Remaster,Static-X,Machine (20th Anniversary Edition) [2022 Remaster],Heavy Edge,Playlist,USWB12104125,6BZ5pRMvPfxsJLLeztmme5
Harakiri,Serj Tankian,Harakiri,Heavy Edge,Playlist,USRE11200122,5vqbkdWB8HUmVNqpFhfuGN
Paradise City,Guns N' Roses,Appetite For Destruction,Heavy Edge,Playlist,USGF18714806,6eN1f9KNmiWEhpE2RhQqB5
