Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Again,Flyleaf,Memento Mori (Expanded),Rhythmic Journey,Playlist,USUM70831819,3v2XiE8ztYHOsrjIBN4Xh2
Decode,Paramore,Decode,Rhythmic Journey,Playlist,USAT22103220,1ZLtE9tSJdaUiIJ9YoKHQe
End of Us,No Resolve,The Divide,Rhythmic Journey,Playlist,CA5KR1939151,2Og90Mz06HQ8Rt3gkF4tTs
Ghost,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904641,3VLihrHhEr1jbRm0pApHs8
Sirens,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904639,0XK1vXG2gGOUY3UMbtRE8O
Ángel,Elefante,Elefante,Rhythmic Journey,Playlist,MXF140400156,2rYjkYQWpn66nf5Ihk7SHJ
Somos Ajenos,Enjambre,Enjambre Y Los Huéspedes Del Orbe,Rhythmic Journey,Playlist,MXF061200345,1Z6NUe88dVXBDpWiWpSpie
Believe,Staind,The Illusion of Progress,Rhythmic Journey,Playlist,USEE10800984,17F9gfZXMGTX3NUFEXXRRX
The Abyss,Three Days Grace,Outsider,Rhythmic Journey,Playlist,USRC11703674,4Zvc5Hb6GwnjGgi9pu9YeG
On My Own,Ashes Remain,What I've Become,Rhythmic Journey,Playlist,USM2C1100702,6VuztO5yaKP4VjqSkZxpan
Bulletproof,Godsmack,When Legends Rise,Rhythmic Journey,Playlist,QMRSZ1703237,4Pp7tPCBM9ywQexWvCz6iH
When We Stand Together,Nickelback,"The Best of Nickelback, Vol. 1",Rhythmic Journey,Playlist,NLA321393048,5x0aOJX7M0HMBqL4UYgkus
When I'm Gone,3 Doors Down,Away From The Sun,Rhythmic Journey,Playlist,USUR10200759,3WbphvawbMZ8FyqDxYGdSQ
What It Takes,Adelitas Way,Shine On,Rhythmic Journey,Playlist,QMF921950055,6wXFPlgXTT3k757WSzS6CE
Forever,Late Night Savior,Into the Aftermath,Rhythmic Journey,Playlist,QZAPG1782045,5ZkiAjznT9M6LgJhEYBRFs
Blinding Lights,Saint Asonia,Introvert,Rhythmic Journey,Playlist,GBUM72107472,6M8bRpPeeoatnpXgUz8KwP
Second Chance,Shinedown,The Sound of Madness,Rhythmic Journey,Playlist,USAT20802281,5AtRcGbmFeHtnbQ4k93UW7
Heathens,Smash Into Pieces,Heathens,Rhythmic Journey,Playlist,QM6MZ2203596,42PD5CnANDCJkcLPPuH4Zd
Lifetime,Three Days Grace,EXPLOSIONS,Rhythmic Journey,Playlist,USRC12103931,19dNZyDyw00aKgr6S0Os6e
I Don't Care - US Version,Apocalyptica,I Don't Care,Rhythmic Journey,Playlist,GBHQD0800003,3bAoghFUTVwGYXYnzRqhCf
Still Broken,Plan Three,Screaming Our Sins,Rhythmic Journey,Playlist,SEWLR0900401,0sOoRAMHTMLipnjbay3lUu
Torn to Pieces,Pop Evil,Onyx,Rhythmic Journey,Playlist,USKO11300621,2BVBr2nf93k2cPJGU9DDeN
Martyrs,Saint Asonia,Flawed Design (Deluxe Edition),Rhythmic Journey,Playlist,GBUM71904647,3BzVPZb7gYkoOIUwVgeScZ
Are You Ready,Three Days Grace,Three Days Grace (Expanded Edition),Rhythmic Journey,Playlist,USJI10300127,5kzbtG4pIcu2s0SVrogm4o
Fly On the Wall,Thousand Foot Krutch,The End Is Where We Begin,Rhythmic Journey,Playlist,TCABF1202222,61nJplehv0WVUKMQX0pd8O
Angel,Theory of a Deadman,Savages,Rhythmic Journey,Playlist,NLA321400207,2qJkesdHu9sMMVFgkRkqhQ
Wait for Me,Theory of a Deadman,Scars & Souvenirs,Rhythmic Journey,Playlist,NLA320786472,5eyyd20ebcrlVK8elBoycE
Vanguard,Smash Into Pieces,Disconnect,Rhythmic Journey,Playlist,QM4TW2289564,1ahcJD1n5bAzbgDGcLhWSW
Trying Not to Love You,Nickelback,Here and Now,Rhythmic Journey,Playlist,NLA321191864,4Dq75eGDLZGM9EGP0XHbo2
Trip Switch,Nothing But Thieves,Nothing But Thieves (Deluxe),Rhythmic Journey,Playlist,GBARL1500806,1uqU0nq6DCbJMktSlUvQV8
Take Me Over,Red,of Beauty and Rage,Rhythmic Journey,Playlist,USA5W1400337,1xuuAhAwawrTuezA9nPVuL
Feed the Machine,Nickelback,Feed the Machine,Rhythmic Journey,Playlist,QMRSZ1700233,6u0Z82GTYAP8ECjSCpudOE
Someday,Nickelback,"The Best of Nickelback, Vol. 1",Rhythmic Journey,Playlist,NLA321393043,3yThbrigNsoQK9Oi0CsSj7
So Far Away,Staind,14 Shades of Grey,Rhythmic Journey,Playlist,USEE10340188,6FOpPA0a80RuBqqgDozvja
So Far Away,Avenged Sevenfold,Nightmare,Rhythmic Journey,Playlist,USWB11001436,1vl4jCsTEs8basRO7pKQ7f
Sleepwalking,Smash Into Pieces,Sleepwalking,Rhythmic Journey,Playlist,QMDA72208167,123zv9wxx96UEtLLLiUYH5
Silent Majority,Nickelback,Feed the Machine,Rhythmic Journey,Playlist,QMRSZ1700241,55VPxQ8uspnErrEsTWukbn
A Shot in the Dark,Smash Into Pieces,Disconnect,Rhythmic Journey,Playlist,QM4TX2235321,1wIshJU2ANUCz2NyTOfHoI
Savin' Me,Nickelback,All the Right Reasons,Rhythmic Journey,Playlist,NLA320581344,4Gd9PUEuOTOJtbgd4YxLXM
Science & Faith,The Script,Science & Faith,Rhythmic Journey,Playlist,GBARL1000956,0cnouzAiEjdjXB5xVVQ8Vo
Save It for the Living,Smash Into Pieces,Rise and Shine,Rhythmic Journey,Playlist,SEVWR1603006,702bu3mRoOq62IukM2ToyL
Salvation,Skillet,Rise,Rhythmic Journey,Playlist,USAT21301426,184kgoWfmOnbRu8JJMQHMG
Running Away from Home,Smash Into Pieces,A New Horizon,Rhythmic Journey,Playlist,QM7282184572,4WtbSC67H1NMEO8DKW5PBv
Rise Up,Smash Into Pieces,A New Horizon,Rhythmic Journey,Playlist,QMFMF2022738,3c2tiAde9rMkVwWznIkPLt
Right Here,Staind,Chapter V,Rhythmic Journey,Playlist,USEE10501098,36IkR2i4HaV3SRsSHzje6v
The Rain,Smash Into Pieces,Disconnect,Rhythmic Journey,Playlist,QMDA62186671,7tRAtqElmPIrfw7xpbT2du
Perfect,Simple Plan,Perfect,Rhythmic Journey,Playlist,USAT20200143,4x5xIB7C8bU0YdVZvrtsbx
Outside,Staind,Break the Cycle,Rhythmic Journey,Playlist,USEE10100309,5D6rk7Zr7FRy5m2fDte5fp
Over and Over,Three Days Grace,One-X,Rhythmic Journey,Playlist,USJI10600160,6Dtq63g5m2sMIVd1Aw9ZDD
On My Own,Three Days Grace,One-X,Rhythmic Journey,Playlist,USJI10600156,4FGQwSKgEykxtBwb2px8ug
Nothing's Fair In Love and War,Three Days Grace,Human,Rhythmic Journey,Playlist,USRC11500216,1E3elyeDZawq8JlTEIrCvL
Not Meant to Be,Theory of a Deadman,Scars & Souvenirs,Rhythmic Journey,Playlist,NLA320786467,5cm4TAuPmAT1waXKcxK3E6
Never Too Late,Three Days Grace,One-X,Rhythmic Journey,Playlist,USJI10600166,3HE50TVRquwXe9yv2HFoNL
My Wildest Dream,Smash Into Pieces,VR,Rhythmic Journey,Playlist,QM4TX2155105,6ES48fx4tk6GprDSZOlwNc
My Sacrifice,Creed,Weathered,Rhythmic Journey,Playlist,USWU30107501,2VSbEXqs6NbNiZSTcHlIDR
Until the World Goes Cold,Trivium,Silence in the Snow (Special Edition),Rhythmic Journey,Playlist,NLA321500169,1hPKSQuvfLlPeIu8xhRyTf
Gone,coldrain,VENA,Rhythmic Journey,Playlist,USHR21586002,6Aslruh5oCnzDKWTALrHOZ
Real One,Smash Into Pieces,A New Horizon (Deluxe Edition),Rhythmic Journey,Playlist,QM4TW2164025,0ZiznMom4sXQ1wrPtGG6y0
The Reason,Hoobastank,The Reason (20th Anniversary),Rhythmic Journey,Playlist,USIR20300704,5B5eTk7DF8KVp1zpQoY1XY
A New Horizon,Smash Into Pieces,A New Horizon (Deluxe Edition),Rhythmic Journey,Playlist,QM7282184738,03ayiTBv870Hypqb9xJnCZ
Lullaby,Nickelback,Here and Now,Rhythmic Journey,Playlist,NLA321191862,2vBiZ7nBe0OqTZKWGP0s4K
Love You to Death,Kamelot,Ghost Opera: The Second Coming,Rhythmic Journey,Playlist,QM3MF1600038,6rk1GkYANsprPf2ML6N6Uv
World So Cold,12 Stones,Anthem For The Underdog (Bonus Track Version),Rhythmic Journey,Playlist,USWU30700047,471eQ7hcJ7JdGY1NzMmUeg
Welcome to My Life,Simple Plan,Welcome to My Life,Rhythmic Journey,Playlist,USAT20402001,721r64Q3st2WtFoWlzARce
Snuff - 2012 Remaster,Slipknot,Antennas to Hell (Special Edition),Rhythmic Journey,Playlist,NLA321292284,633JrSIrIyyrFlrzv1W8Zi
SING,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Rhythmic Journey,Playlist,USRE11000889,7l5PegKXe4o1D1XImvSLL9
The Real You,Three Days Grace,Human,Rhythmic Journey,Playlist,USRC11500219,54C4TfHY00UYEnhMaYgfqZ
Kids In The Dark,All Time Low,Kids In The Dark,Rhythmic Journey,Playlist,USHR21547014,38JRShIGHoKf3gvBNEOdh7
It's Been Awhile,Staind,Break the Cycle,Rhythmic Journey,Playlist,USEE10100288,1BExV8JprNJLvLeDE9qdEW
Let Me Be Your Superhero,Smash Into Pieces,Rise and Shine,Rhythmic Journey,Playlist,SEVWR1600402,4cDHZygn3hStTmnngmNsWo
Let It Die,Three Days Grace,One-X,Rhythmic Journey,Playlist,USJI10600157,6NAmbftWAovcMCnJzDCFsU
Last Stand,Adelitas Way,Adelitas Way,Rhythmic Journey,Playlist,USVI20900209,30I8vqDp2fDpfyQ91FZOZ5
Kryptonite,3 Doors Down,The Greatest Hits,Rhythmic Journey,Playlist,USUM71213124,6mcCraLFnKWPHboTQ4t4F3
I Want to Live,Skillet,Unleashed,Rhythmic Journey,Playlist,USAT21601593,4Ahphc0UzRSoMpJRHgnGQK
It Was Always You,Maroon 5,V (Deluxe),Rhythmic Journey,Playlist,USUM71410331,3WsUKVmB9x7MeO8PBeQgtK
War,Sum 41,13 Voices,Rhythmic Journey,Playlist,USHR21610807,23Vf9hNoBN8AacpUUHbiRy
Broken Heart,Escape the Fate,I Am Human,Rhythmic Journey,Playlist,USDPK1700211,0lKNxyT9fCChvnnjthRVkb
Right Now,Fire From The Gods,Right Now,Rhythmic Journey,Playlist,USDPK1900046,2G7vzLacnuH93lDeTIW3ur
All Animal,Through Fire,All Animal,Rhythmic Journey,Playlist,USYFZ1915401,6V6Kb44JfPVOhI3hBJjGLA
Breathe Again,Pop Evil,Versatile,Rhythmic Journey,Playlist,USKO12000098,5KfXH2tHeTqIX9WvJwXTz1
A Little Piece of Heaven,Avenged Sevenfold,Avenged Sevenfold,Rhythmic Journey,Playlist,USWB10704000,5HxiBWZ0bQRlUkdwSv1eNU
Unreal,Soil,Scream: The Essentials,Rhythmic Journey,Playlist,QMKEL1700698,66I3MPPb1iMGgKVNTZOGc7
Here And Now,Seether,Holding Onto Strings Better Left To Fray,Rhythmic Journey,Playlist,USWU31000144,6fVH4LE9qvlkED9yeimlIo
Be Somebody,Thousand Foot Krutch,The End Is Where We Begin,Rhythmic Journey,Playlist,TCABF1202216,33MnSYLvtOrbj5zwfioEiH
Give Me a Reason,Three Days Grace,Transit Of Venus,Rhythmic Journey,Playlist,USRC11200917,073B0vPoZJi9KqOOJjII9q
The Ghost of You,My Chemical Romance,May Death Never Stop You,Rhythmic Journey,Playlist,USRE11300596,7L3ZztbqdEbKItCMELoMk5
Everything They S4Y,Smash Into Pieces,Everything They S4Y,Rhythmic Journey,Playlist,QM4TX2055958,3e9baHwwWiLfptYlqApZLW
Let Me Be Sad,I Prevail,TRAUMA,Rhythmic Journey,Playlist,US5261923091,5jmYu7XY4zd3mJfizA8t1K
I Am Machine,Three Days Grace,Human,Rhythmic Journey,Playlist,USRC11402105,2UDumaw7osnyjH7RZ2DLpB
Follow You,Bring Me The Horizon,That's The Spirit,Rhythmic Journey,Playlist,GBARL1500772,5EXdCRKd7mf5BRk1cgz2L2
Anthem Of The Angels,Breaking Benjamin,Dear Agony,Rhythmic Journey,Playlist,USHR10924590,0qmmx55Ei3i75ViWcY6mEp
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),Rhythmic Journey,Playlist,USEE11300353,40riOy7x9W7GXjyGp4pjAv
In Ruins,Theory of a Deadman,Savages,Rhythmic Journey,Playlist,NLA321400220,2kSiAdjToa5S27SVVkktGC
If Today Was Your Last Day,Nickelback,Dark Horse,Rhythmic Journey,Playlist,NLA320887846,4QJLKU75Rg4558f4LbDBRi
Erasing the Gray,Flight Paths,Erasing the Gray,Rhythmic Journey,Playlist,TCAEH1952340,3PW1KExr8ZHNCNH3MetYmV
Erase My Scars,Evans Blue,Evans|Blue,Rhythmic Journey,Playlist,US9WS1000044,6njppEOeoUxbEx1BAXsF8p
Land of Confusion - 2007 Remaster,Genesis,Invisible Touch (2007 Remaster),Rhythmic Journey,Playlist,GBAAA0700780,6twIBPybEvGydyNzNz89FT
Triste canción,El Tri,40 Años Vol. 2,Rhythmic Journey,Playlist,MXF150900012,30PVnkFMT1W5Njm4Qw4Xi4
Unstoppable,Red,Gone (Deluxe Edition),Rhythmic Journey,Playlist,USA5W1700265,69Tx9JvyHEMRLJxjPyFsuy
Watching Over You,Smash Into Pieces,Watching Over You,Rhythmic Journey,Playlist,QMBZ92327984,2Aa40bMIuz3gIrd35mtopM
Overcome,Creed,Full Circle,Rhythmic Journey,Playlist,USWU30900233,25TQBBKOrtTfnH6QBM9He1
Blood Moon,Wake Me,Blood Moon,Rhythmic Journey,Playlist,uscgj2049885,58WQKPZHIB4AntzOdKFTAz
Already Over,Red,End Of Silence,Rhythmic Journey,Playlist,USA5W0600046,3SP1LUtLle97QNFvFFopnG
City of Angels,Arrows to Athens,Exile,Rhythmic Journey,Playlist,TCACN1647499,2r9CBT1v1CfuS356cAoL8z
