Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
Judas Convention,Light The Torch,Revival,Full Volume,Playlist,DED831701854,4tBkMu89xGjwjiBtv00YDM
Knives and Pens,Black Veil Brides,We Stitch These Wounds,Full Volume,Playlist,USQZ31002606,2ZhswJTKMkNNTAjrTmPhOJ
Breakdown,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Full Volume,Playlist,USWU30700133,0Q9f1NBvKCC37V4oJVEgCh
Walk Away From The Sun,Seether,Finding Beauty In Negative Spaces (Bonus Track Version),Full Volume,Playlist,USWU30700139,3mNJnrphRRXNC7pl6Iaf2x
Black Hole,We Came As Romans,Black Hole,Full Volume,Playlist,DED832100581,4Y7eqYTpV7fQxpYj1isN2F
Circle The Drain,Wage War,Circle The Drain (Stripped),Full Volume,Playlist,US5262124224,27FBxJG8ab9EZMX5xCN8S5
Happy?,Mudvayne,Lost and Found,Full Volume,Playlist,USSM10500054,2HnZaNGc1xq5rEeuUrsdTA
Falling Apart,Papa Roach,F.E.A.R.,Full Volume,Playlist,USDPK1400253,2bz1WTXLHaFffolrF4GCml
Unbreakable,Kingdom Collapse,Unbreakable,Full Volume,Playlist,TCAFO2188887,0UKIP5PzRX6WY0rURFxxqQ
Survivor,Scott Stapp,The Space Between the Shadows,Full Volume,Playlist,ATN261986305,7KIcB8DLf6lygeroA4nYMR
Letting You Go,Bullet For My Valentine,Gravity (Deluxe Edition),Full Volume,Playlist,GBUM71800992,4h7Sc2UWOxz07UmQ60kQNQ
Why Am I Like This?,The Word Alive,Violent Noise,Full Volume,Playlist,US5261822820,1wZy1qIk3qPVv33I9bALi6
Drop Dead Cynical,Amaranthe,MASSIVE ADDICTIVE,Full Volume,Playlist,FIUM71400483,3X1usZ9bRwbyEjAnkLAJWO
You're Going Down,SICK PUPPIES,Tri-Polar (International Version),Full Volume,Playlist,USVI20900226,5FQXMRDSTkn9fowDJ3kZo8
Disappear,Anberlin,New Surrender,Full Volume,Playlist,USUM70829043,6QHX9Nk5NOTsxrCb7HaA7D
Haunted,Disturbed,Indestructible (Deluxe Edition),Full Volume,Playlist,USRE10800131,7rijC0puBoW9GsHDIVu0d0
Enough,Disturbed,Indestructible (Deluxe Edition),Full Volume,Playlist,USRE10800132,0lOonb8Xn49VXJ1Ukb2vgh
The Curse,Disturbed,Indestructible (Deluxe Edition),Full Volume,Playlist,USRE10800133,2BqtzTiaYgiTmHvMexmBya
Coming for the Throne,Otherwise,Peace at All Costs,Full Volume,Playlist,US4E41409305,6VKYuwheBypKvCC0LqdsmN
House of Glass,ALESTI,Elements,Full Volume,Playlist,NOK9L1801050,4eJNNuBUMdzA3Yn0zrz2Xh
BURN IT DOWN,Linkin Park,LIVING THINGS,Full Volume,Playlist,USWB11200587,7oVEtyuv9NBmnytsCIsY5I
Black Wedding (feat. Rob Halford),In This Moment,Ritual,Full Volume,Playlist,NLA321700123,3zUwwYcmob803s2Bkck8GY
The Brave and the Bold,Disturbed,Immortalized (Deluxe Edition),Full Volume,Playlist,USRE11500185,5WKOlZCe8Yid3xD01xwQBa
The Eye of the Storm,Disturbed,Immortalized,Full Volume,Playlist,USRE11500170,4KNW8d7z1CC8wMyEBEN9wV
The Void,Spiritbox,The Void,Full Volume,Playlist,QMRSZ2300544,2exVVVKvdymCwOFdvmA2bq
ISHFWILF,Disturbed,Asylum,Full Volume,Playlist,USRE11000617,7nMGsAOL38XF9qrpDtQ1Is
Get Out Alive,Three Days Grace,One-X,Full Volume,Playlist,USJI10600163,6hHpXo2XMMKR5lIfa19aLM
Burn,Three Days Grace,Three Days Grace (Expanded Edition),Full Volume,Playlist,USJI10300076,56PMSIrOK5iZDbRti08Jai
Forever,Papa Roach,The Paramour Sessions,Full Volume,Playlist,USUM70605348,4oJ4XZwQA2cLMBnRtYSSIb
Fallen Angel,Three Days Grace,Human,Full Volume,Playlist,USRC11500211,2iptAVf9jZerlywLwiGhak
In Need of Medicine,Smash Into Pieces,In Need of Medicine,Full Volume,Playlist,SEVWR1803801,4qi9dIiXxkQidFUulBZWBs
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),Full Volume,Playlist,USWB10002405,57BrRMwf9LrcmuOsyGilwr
Paradise City,Guns N' Roses,Appetite For Destruction (Super Deluxe Edition),Full Volume,Playlist,USGF18714806,7aksrY4ST4kt90L0ZxqZvB
The Only,Static-X,Shadow Zone,Full Volume,Playlist,USWB10301803,35ZmCVnfYRdK1iLGCxNhMa
You're Mine,Disturbed,Immortalized (Deluxe Edition),Full Volume,Playlist,USRE11500176,4y7rZ7vzfEqsgd591u8qXm
IN MY REMAINS,Linkin Park,LIVING THINGS,Full Volume,Playlist,USWB11200792,00KfIFi2TpAaQGPbRbFbKJ
Fade,Staind,Break the Cycle,Full Volume,Playlist,USEE10100303,5uR6JoqiwSkZIju8i4nyaC
Harakiri,Serj Tankian,Harakiri,Full Volume,Playlist,USRE11200122,5vqbkdWB8HUmVNqpFhfuGN
Impossible,I Am King,Impossible,Full Volume,Playlist,TCADN1823329,0aJglfKKlSuhwws0EU6Q5v
Take the World,She Wants Revenge,Valleyheart,Full Volume,Playlist,USDPK1085001,2liAurQDvBwqRfJCfLVkCQ
Rebirthing,Skillet,Comatose,Full Volume,Playlist,USAT20617635,1OG0QQa2zZe4QeFwVhCiiA
Tear in My Heart,Twenty One Pilots,Blurryface,Full Volume,Playlist,USAT21500390,3bnVBN67NBEzedqQuWrpP4
Rise Up,Sum 41,Rise Up,Full Volume,Playlist,QMRSZ2302553,3wEKXWiYq3h4MCDJZiny0S
Faded,Alan Walker,Different World,Full Volume,Playlist,NOG841549010,698ItKASDavgwZ3WjaWjtz
